concentration,stock,before_dark,before_light,after_dark,after_light
0.02,S2,0,30,0,10
0.04,S2,10,20,10,70
0.06,S2,10,60,0,100
0.08,S2,10,10,10,10
0.1,S2,0,10,40,30
0.02,7002,20,50,10,100
0.04,7002,0,0,0,0
0.06,7002,10,0,0,0
0.08,7002,0,0,0,0
0.1,7002,0,20,0,20
0.02,6803,20,0,10,30
0.04,6803,20,10,0,0
0.06,6803,0,0,0,10
0.08,6803,10,30,10,30
0.1,6803,0,60,10,10
0.02,mNG,10,10,70,20
0.04,mNG,40,10,50,0
0.06,mNG,40,10,10,20
0.08,mNG,70,10,40,20
0.1,mNG,10,20,20,20
0.02,7942,40,10,30,10
0.04,7942,50,10,10,0
0.06,7942,60,70,20,70
0.08,7942,30,20,20,10
0.1,7942,20,20,30,20
0.02,RpoC,20,40,20,60
0.04,RpoC,10,60,10,110
0.06,RpoC,0,50,0,50
0.08,RpoC,10,60,10,50
0.1,RpoC,0,40,0,50
