stock_conc,con_mean_red_value
S2_0.06,1.1545242500000001
S2_0.08,0.84742
S2_0.02,nan
S2_0.04,1.318081
S2_0.1,0.9461120000000002
RPoC_0.06,1.4077275
RPoC_0.08,1.31069575
RPoC_0.02,1.3727962
RPoC_0.04,1.4947574
RPoC_0.1,1.4582784999999998
6803_0.06,0.9963206666666667
6803_0.08,1.07202925
6803_0.02,0.7539064999999999
6803_0.04,1.1300350000000001
6803_0.1,1.0466636666666667
mNG_0.06,1.29604475
mNG_0.08,1.310317
mNG_0.02,1.4424326666666667
mNG_0.04,1.17886175
mNG_0.1,1.302789
7002_0.06,1.0662845
7002_0.08,0.8586115999999999
7002_0.02,nan
7002_0.04,0.6888034999999999
7002_0.1,0.726143375
7942_0.06,0.9121403333333334
7942_0.08,1.8176909999999997
7942_0.02,1.324094
7942_0.04,1.3344091249999999
7942_0.1,1.7223589999999998
