stock_conc,con_mean_red_value
S2_0.06,nan
S2_0.08,nan
S2_0.02,0.8753959999999998
S2_0.04,0.693624
S2_0.1,nan
RPOC_0.06,nan
RPOC_0.08,0.9961619999999999
RPOC_0.02,0.68295475
RPOC_0.04,1.244383
RPOC_0.1,nan
6803_0.06,nan
6803_0.08,0.42980275000000007
6803_0.02,nan
6803_0.04,0.435609
6803_0.1,nan
7002_0.06,nan
7002_0.08,nan
7002_0.02,0.330052
7002_0.04,nan
7002_0.1,0.151642
NMG_0.06,nan
NMG_0.08,0.78023
NMG_0.02,0.783622
NMG_0.04,0.8353119999999999
NMG_0.1,nan
7942_0.06,0.7009681666666667
7942_0.08,0.6119013333333334
7942_0.02,nan
7942_0.04,0.48636711111111114
7942_0.1,nan
