concentration,stock,before,after_dark,after_light
0.02,6803,72,0,26.75
0.04,6803,91.25,42,42.5
0.06,6803,53.83333333,0,0
0.08,6803,83.66666667,20.66666667,55.33333333
0.1,6803,70,0,31.25
0.02,7002,0,8.25,0
0.04,7002,19.25,0,0
0.06,7002,0,0,0
0.08,7002,0,0,0
0.1,7002,0,0,0
0.02,7942,182,0,0
0.04,7942,161,7.357142857,0
0.06,7942,91,14.91666667,5.833333333
0.08,7942,168,25.66666667,3.166666667
0.1,7942,182,0,0
0.02,RpoC,126,0,4.5
0.04,RpoC,133,0,0
0.06,RpoC,154,0,0
0.08,RpoC,144.6666667,1.5,1.5
0.1,RpoC,107.3333333,0,5.333333333
0.02,mNG,23.33333333,0,16
0.04,mNG,84,0,0
0.06,mNG,168,0,0
0.08,mNG,126,65,7.333333333
0.1,mNG,154,0,6.25
0.02,S2,0,0,8.833333333
0.04,S2,154,6.5,0
0.06,S2,133,0,0
0.08,S2,84,0,5
0.1,S2,126,0,3
