concentration,stock,before,after_dark,after_light
0.1,S2,0.946112,0,0.651458667
0.08,S2,0.84742,0,0.7641486
0.06,S2,1.15452425,0,0
0.04,S2,1.318081,0.693624,0
0.02,S2,0,0.875396,0.589091
0.1,RpoC,1.4582785,0,0.56620375
0.08,RpoC,1.31069575,0.996162,0.586785667
0.06,RpoC,1.4077275,0,0
0.04,RpoC,1.4947574,1.244383,0
0.02,RpoC,1.3727962,0.68295475,0.578439
0.1,6803,1.046663667,0,0.372892667
0.08,6803,1.07202925,0.42980275,0.854386333
0.06,6803,0.996320667,0,0
0.04,6803,1.130035,0.435609,0.6161645
0.02,6803,0.7539065,0,0.976157
0.1,mNG,1.302789,0.151642,0
0.08,mNG,1.310317,0,0
0.06,mNG,1.29604475,0,0
0.04,mNG,1.17886175,0,0
0.02,mNG,1.442432667,0.330052,0.367127
0.1,7002,0.726143375,0,0.47222
0.08,7002,0.8586116,0.78023,0.638343
0.06,7002,1.0662845,0,0
0.04,7002,0.6888035,0.835312,0
0.02,7002,0,0.783622,0.777078
0.1,7942,1.722359,0,0
0.08,7942,1.817691,0.611901333,0.6974395
0.06,7942,0.912140333,0.700968167,0.832947
0.04,7942,1.334409125,0.486367111,0
0.02,7942,1.324094,0,0.310427
