stock_conc,con_mean_red_value,,num_zouri,adjusted_mean_red_value
S2_0.06,16.69812821753231,,4,
S2_0.08,6.643471423490547,,3,
S2_0.04,58.49287301522714,,7,
S2_0.1,8.944605886200328,,3,
RPoC_0.06,53.60596174,,14,
RPoC_0.08,15.925502447434413,,8,
RPoC_0.02,73.10984726894048,,9,
RPoC_0.04,32.71519470214844,,5,
RPoC_0.1,25.71457832242236,,4,
6803_0.06,8.033379072024498,,3,
6803_0.08,9.634193702980324,,4,
6803_0.02,6.117952700014468,,,
6803_0.04,11.576272469979745,,,
6803_0.1,11.48840237841194,,,
mNG_0.06,73.61346511,,,
mNG_0.08,46.14542925799334,,,
mNG_0.02,17.71795560106819,,,
mNG_0.04,44.182396782769096,,,
mNG_0.1,27.81985040358555,,,
7002_0.06,51.04380854853877,,,
7002_0.08,58.687129644700036,,,
7002_0.04,24.958501368393133,,,
7002_0.1,55.28598493411217,,,
7942_0.06,29.771399603949654,,,
7942_0.08,61.88836688759886,,,
7942_0.02,50.75005067,,,
7942_0.04,31.36484706548997,,,
7942_0.1,48.109104297779226,,,
