stock_conc,con_mean_red_value
S2_0.06,nan
S2_0.08,nan
S2_0.02,0.379395
S2_0.04,0.28766
S2_0.1,nan
RPOC_0.06,nan
RPOC_0.08,0.50349875
RPOC_0.02,0.32972999999999997
RPOC_0.04,0.575225
RPOC_0.1,nan
6803_0.06,nan
6803_0.08,0.19665625000000003
6803_0.02,nan
6803_0.04,0.23781266666666667
6803_0.1,nan
7002_0.06,nan
7002_0.08,nan
7002_0.02,0.292325
7002_0.04,nan
7002_0.1,0.13557866666666665
NMG_0.06,nan
NMG_0.08,0.48156750000000004
NMG_0.02,0.502749
NMG_0.04,0.40444
NMG_0.1,nan
7942_0.06,0.51796375
7942_0.08,0.322226
7942_0.02,nan
7942_0.04,0.27102842857142856
7942_0.1,nan
