stock_conc,con_mean_red_value
S2_0.06,nan
S2_0.08,0.7641486
S2_0.02,0.589091
S2_0.04,nan
S2_0.1,0.6514586666666666
RPOC_0.06,nan
RPOC_0.08,0.5867856666666668
RPOC_0.02,0.578439
RPOC_0.04,nan
RPOC_0.1,0.5662037500000001
6803_0.06,nan
6803_0.08,0.8543863333333334
6803_0.02,0.9761569999999999
6803_0.04,0.6161645
6803_0.1,0.37289266666666665
7002_0.06,nan
7002_0.08,nan
7002_0.02,0.36712700000000004
7002_0.04,nan
7002_0.1,nan
NMG_0.06,nan
NMG_0.08,0.638343
NMG_0.02,0.7770780000000002
NMG_0.04,nan
NMG_0.1,0.4722200000000001
7942_0.06,0.832947
7942_0.08,0.6974395000000001
7942_0.02,0.310427
7942_0.04,nan
7942_0.1,nan
